track_name,track_id,album_art,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms
Motherless Child,0y3z37R490UEdkyCdFmFDm,https://i.scdn.co/image/ab67616d00001e0290fa0fd3f7941617f02f354f,0.702,0.495,0,-11.645,0,0.0493,0.391,0.8,0.112,0.31,78.507,311892
Move on Up,1W6txMoK3kxBkc5IttrwiA,https://i.scdn.co/image/55ed38300000f25b7bd0cf453ce2aeabfa33e477,0.836,0.709,11,-9.135,0,0.0352,0.154,0.392,0.0894,0.969,145.952,359213
Talk to Me You'll Understand,0DRp685EnPxbJsF3tsZlC4,https://i.scdn.co/image/35d27c5de159518125bb9d374f75209edf046e53,0.742,0.619,1,-11.37,0,0.0517,0.663,0.707,0.125,0.152,126.007,417100
Brutalisme,1dzoPsCEYvZCqhtTNFDccd,https://i.scdn.co/image/ab67616d00001e02b3f0ef2d0288f2dcb2f79830,0.712,0.394,11,-12.721,0,0.0349,0.56,0.265,0.0912,0.686,140.048,223867
Yes Baby Yes,2NxIOFFrMxjeiPogqIkno1,https://i.scdn.co/image/6cd5574f367edc311b9d67b91455c32202088a8c,0.683,0.673,2,-9.593,1,0.0365,0.283,0.422,0.152,0.81,172.092,300693
Good Disease,5pA39NQIP1nZgvFxV5Fi7S,https://i.scdn.co/image/0a3e09a234eb2d1b79621c4d9417d43d8f15a64b,0.771,0.492,0,-8.568,1,0.0532,0.147,0.638,0.1,0.601,85.987,263280
Falling Off A Horse,5bus7g61tYlgVG8spLRwqp,https://i.scdn.co/image/fa1ff0f94e6541dd8c2b8c8632c89c7e911e91ea,0.618,0.437,2,-11.246,1,0.0362,0.895,0.702,0.305,0.806,133.352,323893
Switch,42VpxSdGQgnV1UJkWeGYkA,https://i.scdn.co/image/ab67616d00001e0296782cf4a8f125a67a1f20b7,0.682,0.538,7,-9.296,0,0.0283,0.362,0.000123,0.324,0.713,98.003,254234
The Staunton Lick,24UPAuTCzIAVobhZnwfFqo,https://i.scdn.co/image/b8f99696d012b95e806b9b26d178cbb49f57ac35,0.64,0.867,7,-7.93,1,0.0579,0.322,0.611,0.0688,0.413,174.711,322133
Electric Lines,2WLaRlaBmBHL6dqaovdO0m,https://i.scdn.co/image/ab67616d00001e020fe5424254ffbaba05e92479,0.735,0.437,8,-10.722,1,0.0304,0.202,0.0655,0.0872,0.196,126.025,357401
Echo Arms,45jAFoBsMJwdoLaB6BIkcJ,https://i.scdn.co/image/c0882feddd171e33e2e64a180b1526e54b546475,0.783,0.545,5,-11.422,0,0.0417,0.00406,0.087,0.201,0.578,108.019,267604
Key One,21WjqOXmg8eXOlcDabHRff,https://i.scdn.co/image/ab67616d00001e02b19e9203b3f3ae3a14aa92b1,0.646,0.485,8,-8.324,0,0.0343,0.117,0.00373,0.184,0.0855,122.007,263927
El Bandido,0YQznyH9mJn6UTwWFHqy4b,https://i.scdn.co/image/ab67616d00001e02484fd19bbb5a3b874d94fb21,0.859,0.399,1,-11.089,1,0.0451,0.155,0.388,0.0999,0.254,124.009,397243
Holding On,4RjwMyr4D2W4py79Heop9l,https://i.scdn.co/image/135ba1bea77377ba871930ca92ecc58a5fe3470b,0.789,0.437,5,-10.471,0,0.0338,0.035,0.00336,0.12,0.634,120.013,199733
Kafi Lied (feat. Sarah Palin),1IrWZesp3Yjc6buTJ5R0u3,https://i.scdn.co/image/ab67616d00001e02418fff45838d703cad73466d,0.871,0.459,9,-13.183,0,0.069,0.163,0.279,0.052,0.325,114.004,464453
The Force,39qTXRJZd7omJi2KZCd0nJ,https://i.scdn.co/image/e510f4bf73bc673c628430b959b731e91b4bb24b,0.922,0.701,4,-6.679,0,0.0868,0.0128,0.000822,0.0941,0.54,101.996,245947
Folha de Jurema,2RcrkBWCOWaX67jVDLgJr6,https://i.scdn.co/image/a131462983c66a4103b89e02aa46bf7f2ea5314c,0.647,0.397,7,-13.234,1,0.0816,0.718,0.0648,0.0974,0.179,179.868,263689
Outré Lux (feat. Madison McFerrin),0WAKFcVVPkZboGEZcT4r73,https://i.scdn.co/image/ab67616d00001e023680f6de3061ef5808bfa043,0.572,0.319,6,-12.807,1,0.0745,0.737,0.338,0.226,0.133,119.707,241357
Lady Day and John Coltrane,6yz7M1DItRFo8ATGeLoM9y,https://i.scdn.co/image/ab67616d00001e02f934d342dbc570343c0f9213,0.756,0.647,5,-10.205,0,0.0329,0.479,4.22e-06,0.293,0.961,149.45,216333
Drone Logic,7JRN5xOUIrnI4crUMOt6X4,https://i.scdn.co/image/ab67616d00001e02605da02be8e182bc9966bcc2,0.648,0.712,9,-7.222,1,0.0333,0.131,0.843,0.287,0.104,114.027,429453
